provider,gate,variant_id,n,modality_fav_a,modality_fav_b,change
anthropic,moderation,T1_serif,18,0.034722222222222224,0.08101851851851852,0.046296296296296294
anthropic,moderation,T3_sans,18,0.14583333333333334,0.0625,-0.08333333333333334
anthropic,resume,T1_serif,17,-0.012254901960784315,0.0,0.012254901960784315
anthropic,resume,T3_sans,17,-0.012254901960784322,0.0,0.012254901960784322
google,moderation,T1_serif,19,-0.010964912280701756,-0.013157894736842105,-0.002192982456140349
google,moderation,T3_sans,19,0.06798245614035087,-0.057017543859649134,-0.125
google,resume,T1_serif,16,0.19010416666666666,0.0,-0.19010416666666666
google,resume,T3_sans,16,0.20052083333333334,0.0,-0.20052083333333334
