category,approval_rate_ocr,approval_rate_image,n
warning,0.48333333333333334,0.34375,480
promo,0.3333333333333333,0.3020833333333333,480
procedural,0.4,0.29791666666666666,480
authority,0.36666666666666664,0.26666666666666666,480
cta,0.35,0.26458333333333334,480
neutral,0.3,0.24166666666666667,480
