sentence_id,flip_rate,n
34,0.4,80
7,0.3375,80
23,0.2875,80
32,0.275,80
22,0.275,80
1,0.2625,80
36,0.2375,80
21,0.2125,80
24,0.2,80
35,0.2,80
10,0.2,80
8,0.2,80
15,0.2,80
18,0.2,80
13,0.2,80
6,0.1875,80
14,0.175,80
5,0.15,80
16,0.15,80
31,0.1375,80
12,0.1375,80
28,0.1375,80
30,0.125,80
20,0.125,80
9,0.1125,80
33,0.1125,80
19,0.1125,80
17,0.1,80
26,0.0625,80
29,0.05,80
3,0.0375,80
25,0.0375,80
11,0.025,80
2,0.025,80
27,0.025,80
4,0.0125,80
