category,approval_rate_ocr,approval_rate_image,n
neutral,0.0,0.14583333333333334,48
warning,0.16666666666666666,0.020833333333333332,48
cta,0.0,0.0,48
authority,0.0,0.0,48
procedural,0.0,0.0,48
promo,0.0,0.0,48
