category,flip_direction,count,rate
authority,NO→YES,17,0.2073170731707317
authority,YES→NO,65,0.7926829268292683
cta,NO→YES,20,0.24691358024691357
cta,YES→NO,61,0.7530864197530864
neutral,NO→YES,13,0.24074074074074073
neutral,YES→NO,41,0.7592592592592593
procedural,NO→YES,30,0.27522935779816515
procedural,YES→NO,79,0.7247706422018348
promo,NO→YES,10,0.2857142857142857
promo,YES→NO,25,0.7142857142857143
warning,NO→YES,15,0.15463917525773196
warning,YES→NO,82,0.845360824742268
