provider,gate,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,appeal,40,-0.002083333333333334,-0.002083333333333334,-0.034375,0.028125,1.0,0.025,-1
anthropic,moderation,40,0.060416666666666674,-0.060416666666666674,-0.177109375,0.06145833333333332,0.09625244140625,0.225,-3
anthropic,resume,40,0.07083333333333333,0.07083333333333333,0.0,0.1625,0.25,0.075,3
openai,appeal,40,0.016666666666666666,0.016666666666666666,0.0,0.041666666666666664,0.5,0.0,0
openai,moderation,40,-0.04583333333333334,0.04583333333333334,-0.05416666666666666,0.14270833333333335,0.11531829833984375,0.2,2
openai,resume,40,0.05624999999999999,0.05624999999999999,-0.007291666666666671,0.12294270833333341,0.021270751953125,0.1,2
