provider,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,A1_opendyslexic,60,-0.0125,0.013888888888888892,-0.05416666666666667,0.08888888888888889,0.7744140625,0.13333333333333333,0
anthropic,A2_large_sans,60,0.029166666666666667,0.005555555555555556,-0.05555555555555555,0.07083333333333333,1.0,0.08333333333333333,1
anthropic,C1_red,60,0.006944444444444442,-0.00555555555555556,-0.06944444444444445,0.06251736111111117,0.5810546875,0.08333333333333333,1
anthropic,C2_gray,60,0.04027777777777777,-0.005555555555555558,-0.0763888888888889,0.06666666666666667,0.548828125,0.11666666666666667,-1
anthropic,H1_highlight,60,0.04027777777777777,3.7007434154171884e-18,-0.06249999999999999,0.06598958333333341,1.0,0.08333333333333333,-1
anthropic,L1_cramped,60,0.05694444444444444,-0.03333333333333334,-0.08680555555555557,0.01458333333333333,0.548828125,0.06666666666666667,-2
anthropic,T1_serif,60,0.04583333333333333,0.0,-0.06527777777777778,0.0701388888888889,0.7744140625,0.11666666666666667,-1
anthropic,T3_sans,60,0.04027777777777777,0.005555555555555558,-0.06390625,0.07987847222222229,0.548828125,0.1,0
anthropic,T7_comic,60,0.02638888888888889,-0.008333333333333333,-0.07847222222222222,0.06527777777777778,0.4239501953125,0.11666666666666667,-1
openai,A1_opendyslexic,60,0.01736111111111111,-0.0020833333333333333,-0.05416666666666667,0.050694444444444445,1.0,0.06666666666666667,-2
openai,A2_large_sans,60,-0.013194444444444446,-0.004861111111111109,-0.07013888888888889,0.06460069444444451,1.0,0.11666666666666667,-1
openai,C1_red,60,0.020138888888888883,-0.010416666666666663,-0.0826388888888889,0.05902777777777778,1.0,0.1,-2
openai,C2_gray,60,-0.007638888888888893,0.03958333333333334,-0.029861111111111116,0.11041666666666666,0.1670684814453125,0.15,3
openai,H1_highlight,60,-0.004861111111111116,0.05347222222222222,-0.011111111111111108,0.11737847222222228,0.26317596435546875,0.11666666666666667,3
openai,L1_cramped,60,-0.029861111111111116,0.05069444444444446,-0.01041666666666666,0.11460069444444451,0.26317596435546875,0.11666666666666667,1
openai,T1_serif,60,0.003472222222222219,0.03958333333333334,-0.025,0.10418402777777785,0.063568115234375,0.11666666666666667,1
openai,T3_sans,60,0.01458333333333333,0.03958333333333332,-0.009045138888888887,0.08680555555555555,0.0192108154296875,0.08333333333333333,3
openai,T7_comic,60,0.014583333333333334,0.022916666666666665,-0.03819444444444444,0.08472222222222223,0.237884521484375,0.11666666666666667,1
