category,approval_rate_text,approval_rate_image,n
warning,0.48333333333333334,0.37222222222222223,540
procedural,0.4666666666666667,0.32407407407407407,540
promo,0.4,0.29259259259259257,540
authority,0.48333333333333334,0.28888888888888886,540
cta,0.46654275092936803,0.24349442379182157,538
neutral,0.35,0.18703703703703703,540
