category,flip_direction,count,rate
authority,NO→YES,8,0.07272727272727272
authority,YES→NO,102,0.9272727272727272
cta,NO→YES,17,0.1223021582733813
cta,YES→NO,122,0.8776978417266187
neutral,YES→NO,83,1.0
procedural,NO→YES,11,0.11956521739130435
procedural,YES→NO,81,0.8804347826086957
promo,NO→YES,16,0.1839080459770115
promo,YES→NO,71,0.8160919540229885
warning,NO→YES,31,0.26495726495726496
warning,YES→NO,86,0.7350427350427351
