category,approval_rate_text,approval_rate_image,n
warning,0.4666666666666667,0.34375,480
promo,0.3333333333333333,0.3020833333333333,480
procedural,0.4,0.29791666666666666,480
authority,0.36666666666666664,0.26666666666666666,480
cta,0.35,0.26458333333333334,480
neutral,0.2980392156862745,0.2372549019607843,510
