variant_bucket,approval_rate_text,approval_rate_image,n
capitalization,0.36944444444444446,0.37222222222222223,360
emphasis,0.36533333333333334,0.2773333333333333,750
font_family,0.36944444444444446,0.27055555555555555,1800
