mean,ci_low,ci_high,n,variant_id
0.35,0.3142857142857143,0.38571428571428573,360,A1_opendyslexic_regular
0.3972222222222222,0.36818181818181817,0.425,360,T1_times_regular
0.42777777777777776,0.4,0.4541761363636363,360,T2_times_bold
0.4,0.36818181818181817,0.4318181818181818,360,T3_arial_regular
0.4,0.36818181818181817,0.43,360,T4_arial_bold
0.4444444444444444,0.41304347826086957,0.475,360,T5_arial_all_caps
0.39444444444444443,0.3619047619047619,0.4260869565217391,360,T6_monospace
0.33611111111111114,0.30416666666666664,0.36666666666666664,360,T7_comic
0.39444444444444443,0.36666666666666664,0.42,360,T8_small_text
