category,flip_direction,count,rate
authority,NO→YES,26,0.35135135135135137
authority,YES→NO,48,0.6486486486486487
cta,NO→YES,58,0.5043478260869565
cta,YES→NO,57,0.4956521739130435
neutral,NO→YES,25,0.43103448275862066
neutral,YES→NO,33,0.5689655172413793
procedural,NO→YES,68,0.8192771084337349
procedural,YES→NO,15,0.18072289156626506
promo,NO→YES,40,0.37735849056603776
promo,YES→NO,66,0.6226415094339622
warning,NO→YES,62,0.7045454545454546
warning,YES→NO,26,0.29545454545454547
