category,approval_rate_ocr,approval_rate_image,n
warning,0.4166666666666667,0.48333333333333334,540
procedural,0.38333333333333336,0.48148148148148145,540
authority,0.4666666666666667,0.42592592592592593,540
promo,0.4,0.3351851851851852,540
cta,0.3,0.31851851851851853,540
neutral,0.3333333333333333,0.31851851851851853,540
