category,approval_rate_text,approval_rate_image,n
authority,0.16666666666666666,0.0,54
cta,0.0,0.0,54
neutral,0.0,0.0,54
procedural,0.0,0.0,54
promo,0.0,0.0,54
warning,0.5,0.0,54
