provider,gate,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,moderation,20,-0.18125,0.18125,0.03125,0.34375,0.125,0.2,4
google,moderation,20,-0.06458333333333334,0.06458333333333334,0.0,0.1625,0.5,0.1,2
openai,moderation,20,-0.08333333333333333,0.08333333333333333,0.01875,0.17083333333333334,0.0625,0.05,1
