provider,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,A1_opendyslexic,60,-0.013888888888888892,0.04027777777777777,-0.01666666666666667,0.10833333333333334,0.7265625,0.08333333333333333,3
anthropic,A2_large_sans,60,2.3129646346357427e-18,0.020833333333333332,-0.038906249999999996,0.08333333333333333,0.5078125,0.06666666666666667,2
anthropic,C1_red,60,-0.04444444444444444,0.02083333333333333,-0.04375,0.08958333333333332,0.5078125,0.08333333333333333,1
anthropic,C2_gray,60,-0.06666666666666667,0.020833333333333332,-0.06180555555555556,0.10347222222222222,0.5078125,0.13333333333333333,2
anthropic,H1_highlight,60,-0.027777777777777783,0.015277777777777779,-0.05625,0.08888888888888889,0.7265625,0.1,2
anthropic,L1_cramped,60,-0.002777777777777781,0.018055555555555554,-0.03402777777777778,0.07640625000000005,0.6875,0.06666666666666667,2
anthropic,T1_serif,60,-0.041666666666666664,0.012499999999999999,-0.04862847222222223,0.08541666666666667,1.0,0.08333333333333333,1
anthropic,T3_sans,60,-0.06388888888888888,0.05694444444444444,-0.026406249999999996,0.14168402777777783,0.0654296875,0.13333333333333333,4
anthropic,T7_comic,60,0.0055555555555555506,0.04861111111111112,-0.01878472222222221,0.12361111111111112,0.2890625,0.1,4
google,A1_opendyslexic,60,0.05694444444444445,0.05,0.0013888888888888876,0.10763888888888888,0.2890625,0.05,3
google,A2_large_sans,60,0.043055555555555555,0.09722222222222224,0.0375,0.16319444444444448,0.00390625,0.11666666666666667,7
google,C1_red,60,0.034722222222222224,0.05555555555555555,0.006944444444444444,0.10972222222222222,0.109375,0.08333333333333333,5
google,C2_gray,60,0.026388888888888885,0.06944444444444443,0.0125,0.13472222222222224,0.1796875,0.1,6
google,H1_highlight,60,0.051388888888888894,0.08888888888888889,0.03263888888888889,0.1548784722222223,0.0078125,0.11666666666666667,7
google,L1_cramped,60,0.023611111111111114,0.03333333333333333,-0.008333333333333333,0.0861111111111111,0.2890625,0.05,3
google,T1_serif,60,0.0375,0.03055555555555555,-0.035416666666666666,0.09513888888888888,0.5078125,0.08333333333333333,3
google,T3_sans,60,0.03194444444444444,0.075,0.02777777777777778,0.12918402777777785,0.00390625,0.1,6
google,T7_comic,60,0.04027777777777777,0.06111111111111111,0.00625,0.1236111111111111,0.0703125,0.1,4
openai,A1_opendyslexic,60,-0.038888888888888896,0.027777777777777776,-0.007638888888888891,0.07291666666666669,0.75390625,0.03333333333333333,2
openai,A2_large_sans,60,-0.03888888888888889,-1.8503717077085942e-18,-0.03263888888888889,0.036111111111111115,1.0,0.05,-1
openai,C1_red,60,-0.061111111111111116,-0.005555555555555558,-0.06460069444444445,0.0534895833333334,1.0,0.11666666666666667,-1
openai,C2_gray,60,-0.06944444444444445,-0.013888888888888888,-0.07291666666666667,0.038906250000000066,1.0,0.1,0
openai,H1_highlight,60,-0.0638888888888889,0.008333333333333333,-0.046527777777777786,0.06458333333333334,1.0,0.08333333333333333,-1
openai,L1_cramped,60,-0.030555555555555558,0.025,-0.009027777777777784,0.06251736111111118,0.109375,0.05,-1
openai,T1_serif,60,-0.041666666666666664,0.03611111111111111,-0.010416666666666666,0.09097222222222223,1.0,0.1,0
openai,T3_sans,60,-0.03888888888888889,0.016666666666666666,-0.015972222222222224,0.054166666666666675,1.0,0.06666666666666667,0
openai,T7_comic,60,-0.041666666666666664,0.03055555555555555,-0.0006944444444444448,0.07083333333333333,0.5078125,0.05,1
