provider,gate,n_items,mean_p_text,min_p_text,max_p_text,n_in_band
anthropic,moderation,20,0.48125,0.0,1.0,2
anthropic,resume,20,0.5,0.0,1.0,0
google,moderation,20,0.49375,0.0,1.0,0
google,resume,20,0.5,0.0,1.0,0
openai,moderation,20,0.4625,0.0,1.0,4
openai,resume,20,0.49375,0.0,1.0,2
