provider,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,T1_serif,40,-0.036458333333333336,0.036458333333333336,-0.002083333333333334,0.09166666666666667,0.375,0.05,2
anthropic,T3_sans,40,-0.028125,0.028125,-0.00625,0.07708333333333334,1.0,0.05,2
google,T1_serif,40,0.003125,-0.003125,-0.0125,0.00625,1.0,0.0,0
google,T3_sans,40,0.023958333333333335,-0.023958333333333335,-0.08125,0.01145833333333333,1.0,0.025,-1
openai,T1_serif,40,-0.053125,0.009375000000000005,-0.049999999999999996,0.06770833333333334,1.0,0.05,0
openai,T3_sans,40,-0.07395833333333333,0.021875000000000006,-0.03541666666666666,0.07502604166666679,0.5078125,0.05,0
